School Name,Total Absences,1-5 Absences,6-10 Absences,11-20 Absences,21+ Absences
Aiton ES,175,31,44,50,46
Amidon-Bowen ES,297,146,80,30,24
Anacostia HS,372,17,19,53,279
Ballou HS,684,9,13,61,595
Ballou STAY,59,3,1,13,42
Bancroft ES,598,378,60,27,7
Barnard ES,512,298,81,21,33
Beers ES,326,113,73,72,45
Benjamin Banneker HS,536,331,91,36,7
Brent ES,382,255,38,15,6
Brightwood Elementary School,529,227,130,95,57
Brookland MS,372,258,52,11,22
Browne EC,413,153,130,80,40
Bruce-Monroe ES @ Park View,386,203,67,29,28
Bunker Hill ES,165,59,42,29,27
Burroughs ES,194,63,53,36,27
Burrville ES,217,87,63,43,21
C.W.Harris ES,223,57,74,49,40
Cap Hill Montessori @ Logan,278,135,57,35,12
Cardozo EC,679,79,80,122,385
Cleveland ES,218,119,44,13,7
Columbia Heights EC (CHEC),1538,209,234,303,772
Coolidge HS,774,88,74,121,479
Deal MS ,453,787,124,69,84
Dorothy L. Height ES,331,158,81,40,24
Drew ES,170,43,61,48,16
Dunbar HS,808,41,59,116,586
Eastern HS,777,69,54,100,544
Eaton ES,412,200,34,15,7
 Duke Ellington School of the Arts,342,87,64,68,111
 Eliot-Hine MS,574,151,134,113,162
Excel Academy,398,93,141,68,89
Garfield ES,223,34,90,71,27
Garrison ES,262,148,57,16,15
H.D. Cooke ES,329,165,86,41,15
Hardy MS,569,292,121,67,33
Hart MS,475,158,133,104,66
Hearst ES,303,181,20,0,0
Hendley ES,299,50,56,67,125
Houston ES,219,72,50,38,48
Hyde-Addison ES,335,184,61,37,10
Ida B. Wells MS,592,176,129,135,132
J.O. Wilson ES,341,204,92,21,6
Janney ES,602,405,27,3,0
Jefferson MS Academy,394,84,64,93,144
John Lewis Elementary School,305,143,50,39,51
Johnson John Hayden MS,357,38,89,129,97
Kelly Miller MS,448,18,31,112,287
Ketcham ES,247,53,58,62,71
Key ES,290,181,22,4,3
Kimball ES,357,43,69,117,126
King M.L. ES,209,18,37,58,95
Kramer MS,310,8,17,61,224
Lafayette ES,817,503,27,4,1
Langdon ES,282,86,65,46,76
Langley ES,259,67,70,49,69
LaSalle-Backus Elementary School,229,89,62,33,25
Lawrence E. Boone ES,345,111,130,56,40
Leckie EC,393,77,101,115,96
Ludlow-Taylor ES,350,208,55,29,20
Luke Moore Alternative HS,81,1,4,11,64
MacFarland MS,707,207,169,170,147
Malcolm X ES @ Green,199,49,54,63,29
Mann ES,336,176,16,4,1
Marie Reed ES,377,199,71,30,19
Maury ES,443,265,40,21,9
McKinley MS,309,43,82,93,91
McKinley Technology HS,690,189,190,155,128
Miner ES,312,96,97,54,56
Moten ES,196,55,51,38,47
Murch ES,590,330,36,9,13
Nalle ES,263,66,67,60,67
Noyes ES,236,92,42,43,40
Oyster-Adams Bilingual,726,420,39,10,3
Patterson ES,268,25,71,134,35
Payne ES,230,122,64,26,6
Peabody ES (Capitol Hill Clus),79,57,13,3,0
Phelps ACE HS,325,113,106,61,27
Plummer ES,194,71,84,20,16
Powell ES,428,241,93,29,16
Randle Highlands ES,244,137,55,9,12
Raymond Elementary School,341,210,60,28,29
River Terrace,47,10,10,9,14
Ron Brown High School,199,29,37,34,96
Roosevelt High School,831,80,94,102,537
Roosevelt STAY,129,16,6,20,79
Ross ES,151,89,16,7,0
Savoy ES,229,28,30,55,115
School Without Walls HS,594,327,49,8,3
School-WithinSchool @ Goding,245,153,28,7,1
Seaton ES ,271,128,71,22,35
Shepherd ES,312,202,14,8,6
Simon ES,205,32,35,53,82
Smothers ES,175,23,46,40,64
Sousa MS,270,42,53,73,98
Stanton ES,305,26,57,83,137
Stoddert ES,443,250,37,6,2
Stuart-Hobson MS,519,210,117,91,61
SWW @ Francis Stevens,490,279,88,41,29
Takoma Elementary School,318,148,53,26,38
Thomas ES,242,96,102,23,16
Thomson ES,223,126,34,16,1
Truesdell Elementary School,373,184,102,27,15
Tubman ES,512,228,141,59,46
Turner ES,438,58,91,138,143
Tyler ES,386,222,57,22,22
Van Ness ES,324,154,52,36,40
Walker-Jones EC,388,42,72,117,153
Watkins ES (Capitol Hill Cluster),434,284,70,11,0
Wheatley EC,324,78,60,83,97
Whittier Elementary School,284,160,57,23,19
Wilson HS,2085,655,496,348,512
H.D. Woodson HS,509,20,28,73,386
