School Name,Total Absences,1-5 Absences,6-10 Absences,11-20 Absences,21+ Absences,School Year
Aiton ES,190,74,58,33,12,8/31/17
Amidon-Bowen ES,309,149,98,36,12,8/31/17
Anacostia HS,396,31,40,59,262,8/31/17
Ballou HS,933,53,102,207,556,8/31/17
Ballou STAY,138,0,0,0,128,8/31/17
Bancroft ES,460,298,55,0,0,8/31/17
Barnard ES,521,378,41,10,0,8/31/17
Beers ES,411,252,47,0,0,8/31/17
Benjamin Banneker HS,483,309,47,15,0,8/31/17
Brent ES,369,242,40,0,0,8/31/17
Brightwood EC,712,407,155,52,12,8/31/17
Brookland MS,268,94,62,77,24,8/31/17
Browne EC,317,157,69,35,12,8/31/17
Bruce-Monroe ES,397,254,46,14,10,8/31/17
Bunker Hill ES,163,80,48,22,0,8/31/17
Burroughs ES,222,84,63,48,16,8/31/17
Burrville ES,244,59,78,78,22,8/31/17
C.W. Harris ES,251,118,73,37,14,8/31/17
Cap Hill Montessori,259,137,71,29,0,8/31/17
Cardozo EC,730,111,125,164,316,8/31/17
CHOICE Academy,68,24,19,13,0,8/31/17
Cleveland ES,247,148,39,14,0,8/31/17
Columbia Heights EC,1245,390,268,307,203,8/31/17
Coolidge HS,329,101,53,58,87,8/31/17
Deal MS,1520,1024,122,42,15,8/31/17
Dorothy I. Height ES,343,179,84,41,11,8/31/17
Drew ES,253,90,94,47,14,8/31/17
Dunbar HS,671,37,61,164,398,8/31/17
Eastern HS,773,94,109,174,380,8/31/17
Eaton ES,453,256,0,0,0,8/31/17
Eliot-Hine MS,227,55,54,56,48,8/31/17
Ellington School of the Arts,558,224,101,111,82,8/31/17
Garfield ES,281,127,103,21,0,8/31/17
Garrison ES,192,130,30,0,0,8/31/17
H.D. Cooke ES,337,163,64,47,19,8/31/17
Hardy MS,405,282,16,0,0,8/31/17
Hart MS,392,173,121,47,29,8/31/17
Hearst ES,278,183,24,0,0,8/31/17
Hendley ES,387,82,108,115,75,8/31/17
