"latitude","longitude","school_name","ward","grades","pk3_17","pk4_17","kg_17","g1_17","g2_17","g3_17","g4_17","g5_17","g6_17","g7_17","g8_17","g9_17","g10_17","g11_17","g12_17","night_students_17","non_cert_17","data_year17","pk3_18","pk4_18","kg_18","g1_18","g2_18","g3_18","g4_18","g5_18","g6_18","g7_18","g8_18","g9_18","g10_18","g11_18","g12_18","night_students_18","non_cert_18","sy2018","pk3_19","pk4_19","kg_19","g1_19","g2_19","g3_19","g4_19","g5_19","g6_19","g7_19","g8_19","g9_19","g10_19","g11_19","g12_19","night_students_19","non_cert_19","sy2019","pk3_20","pk4_20","kg_20","g1_20","g2_20","g3_20","g4_20","g5_20","g6_20","g7_20","g8_20","g9_20","g10_20","g11_20","g12_20","night_students_20","non_cert_20","sy2020","pk3_21","pk4_21","kg_21","g1_21","g2_21","g3_21","g4_21","g5_21","g6_21","g7_21","g8_21","g9_21","g10_21","g11_21","g12_21","night_students_21","non_cert_21","sy2021"
38.83930035,-77.00140525,"Ballou STAY High School","8","HS",0,0,0,0,0,0,0,0,0,0,0,88,45,71,67,224,0,"2017",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,74,66,66,116,202,NULL,"2018",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,89,57,52,68,254,3,"2019",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,89,57,52,68,254,3,"2020",0,0,0,0,0,0,0,0,0,0,0,80,56,63,43,216,0,"2021"
38.83927528,-77.00134088,"Ballou STAY High School","8","HS",0,0,0,0,0,0,0,0,0,0,0,88,45,71,67,224,0,"2017",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,74,66,66,116,202,NULL,"2018",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,89,57,52,68,254,3,"2019",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,89,57,52,68,254,3,"2020",0,0,0,0,0,0,0,0,0,0,0,80,56,63,43,216,0,"2021"
38.94328317,-77.0291906,"Roosevelt STAY High School","4","HS",0,0,0,0,0,0,0,0,0,0,0,125,60,79,67,184,0,"2017",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,102,136,103,85,222,NULL,"2018",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,139,120,121,89,165,0,"2019",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,139,120,121,89,165,0,"2020",0,0,0,0,0,0,0,0,0,0,0,148,97,79,76,184,0,"2021"
38.94328317,-77.0291906,"Roosevelt STAY High School","4","HS",0,0,0,0,0,0,0,0,0,0,0,125,60,79,67,184,0,"2017",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,102,136,103,85,222,NULL,"2018",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,139,120,121,89,165,0,"2019",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,139,120,121,89,165,0,"2020",0,0,0,0,0,0,0,0,0,0,0,148,97,79,76,184,0,"2021"
38.89559278,-76.95910647,"River Terrace Education Campus","7","Adult",0,0,0,0,0,7,4,9,7,13,7,0,0,0,0,0,90,"2017",NULL,NULL,NULL,NULL,NULL,2,6,5,9,8,13,NULL,NULL,NULL,NULL,NULL,88,"2018",NULL,NULL,NULL,NULL,NULL,0,2,4,7,5,7,9,0,0,0,2,96,"2019",NULL,NULL,NULL,NULL,NULL,0,2,4,7,5,7,9,0,0,0,2,96,"2020",0,0,0,0,0,4,0,1,5,6,2,5,0,0,0,0,92,"2021"
38.89743637,-76.93374432,"Aiton Elementary School","7","ES",31,43,39,33,20,21,30,26,0,0,0,0,0,0,0,0,0,"2017",39,32,41,33,26,19,30,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2018",13,24,40,31,35,24,18,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019",13,24,40,31,35,24,18,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2020",10,23,27,34,27,28,22,21,0,0,0,0,0,0,0,0,0,"2021"
38.88103368,-77.01817846,"Amidon-Bowen Elementary School","6","ES",25,40,37,45,50,49,46,59,0,0,0,0,0,0,0,0,0,"2017",39,36,47,36,33,45,51,52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2018",18,40,47,43,39,44,41,43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019",18,40,47,43,39,44,41,43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2020",32,31,47,50,42,44,50,39,0,0,0,0,0,0,0,0,0,"2021"
38.8708087,-76.98293357,"Anacostia High School","8","HS",0,0,0,0,0,0,0,0,0,0,0,89,91,83,95,0,21,"2017",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,81,59,71,61,NULL,24,"2018",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,158,62,51,30,NULL,25,"2019",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,158,62,51,30,NULL,25,"2020",0,0,0,0,0,0,0,0,0,0,0,141,80,44,38,0,18,"2021"
38.93594418,-77.04060035,"Bancroft Elementary School","1","ES",43,57,80,78,68,78,67,73,0,0,0,0,0,0,0,0,0,"2017",46,59,91,80,79,68,78,66,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2018",45,59,101,97,94,80,80,71,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019",45,59,101,97,94,80,80,71,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2020",43,63,104,109,102,93,88,74,0,0,0,0,0,0,0,0,0,"2021"
38.94812776,-77.01847766,"Barnard Elementary School","4","ES",61,84,90,80,88,79,86,74,0,0,0,0,0,0,0,0,0,"2017",65,83,96,82,65,76,80,73,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2018",62,77,73,78,95,83,73,76,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019",62,77,73,78,95,83,73,76,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2020",57,76,82,67,73,92,77,72,0,0,0,0,0,0,0,0,0,"2021"
