"DCPS
School ID",School Name,Address,Zip Code,Phone Number,Fax Number,Principal Email,Grades,Ward
202,Aiton Elementary School,533 48th Pl. NE,20019,(202) 671-6060,(202) 724-4630,malaika.golden@k12.dc.gov,PK3-5th,7
203,Amidon-Bowen Elementary School,401 I St. SW,20024,(202) 724-4867,(202) 724-4868,tamikka.sykes@k12.dc.gov,PK3-5th,6
450,Anacostia High School,1601 16th St. SE,20020,(202) 698-2155,(202) 698-2188,william.haith@k12.dc.gov,9th-12th,8
452,Ballou High School,3401 4th St. SE,20032,(202) 645-3400,(202) 645-3397,willie.jackson@k12.dc.gov,9th-12th,8
462,Ballou STAY High School,3401 4th St. SE,20032,(202) 645-3390,(202) 645-3935,cara.fuller@k12.dc.gov,"9th-12th, Adult Education",8
204,Bancroft Elementary School,1755 Newton St. NW,20010,(202) 673-7280,(202) 673-6991,jessica.morales@k12.dc.gov,PK3-5th,1
1058,Bard High School Early College DC (Bard DC),4430 H St. SE,20019,(202) 898-4664,,Vanessa.Anderson2@k12.dc.gov,9th-12th,7
205,Barnard Elementary School,430 Decatur St. NW,20011,(202) 576-1100,(202) 541-6010,grace.reid@k12.dc.gov,PK3-5th,4
206,Beers Elementary School,3600 Alabama Ave. SE,20020,(202) 939-4800,(202) 645-3225,gwendolyn.payton@k12.dc.gov,PK3-5th,7
402,Benjamin Banneker High School,1600 9th St. NW,20001,(202) 671-6320,(202) 673-2231,anita.berger@k12.dc.gov,9th-12th,6
291,Lawrence E. Boone Elementary School,2200 Minnesota Ave. SE,20020,(202) 671-6240,(202) 645-3292,kimberly.douglas@k12.dc.gov,PK3-5th,8
212,Brent Elementary School,301 North Carolina Ave. SE,20003,(202) 698-3363,(202) 698-3369,norah.lycknell@k12.dc.gov,PK3-5th,6
213,Brightwood Elementary School,1300 Nicholson St. NW,20011,(202) 722-5670,(202) 576-6168,maurice.kennard@k12.dc.gov,PK3-5th,4
347,Brookland Middle School,1150 Michigan Ave NE,20017,(202) 759-1999,(202) 671-6251,kerry.richardson@k12.dc.gov,6th-8th,5
404,Browne Education Campus,850 26th St. NE,20002,(202) 671-6210,(202) 671-2305,shawna.dix@k12.dc.gov,PK3-8th,5
296,Bruce-Monroe Elementary School @ Park View,3560 Warder St. NW,20010,(202) 576-6222,(202) 576-6225,alethea.bustillo@k12.dc.gov,PK3-5th,1
219,Bunker Hill Elementary School,1401 Michigan Ave NE,20017,(202) 576-6095,(202) 576-4632,Jennifer.Tompkins@k12.dc.gov,PK3-5th,5
220,Burroughs Elementary School,1820 Monroe St. NE,20018,(202) 576-6150,(202) 576-6819,levar.jenkins@k12.dc.gov,PK3-5th,5
221,Burrville Elementary School,801 Division Ave. NE,20019,(202) 671-6020,(202) 724-5578,chunita.pilgrim@k12.dc.gov,PK3-5th,7
247,C.W. Harris Elementary School,301 53rd St. SE,20019,(202) 645-3188,(202) 645-3190,derek.gorham@k12.dc.gov,PK3-5th,7
360,Capitol Hill Montessori School @ Logan,215 G St. NE,20002,(202) 698-4467,(202) 698-4533,kim.adutwum@k12.dc.gov,PK3-8th,6
454,Cardozo Education Campus,1200 Clifton St. NW,20009,(202) 673-7385,(202) 673-2232,arthur.mola@k12.dc.gov,6th-12th,1
224,Cleveland Elementary School,1825 8th St. NW,20001,(202) 939-4380,(202) 673-6461,anna.krughoff2@k12.dc.gov,PK3-5th,1
442,Columbia Heights Education Campus,3101 16th St. NW,20010,(202) 939-7700,(202) 576-9147,maria.tukeva@k12.dc.gov,6th-12th,1
455,Coolidge High School,6315 5th St. NW,20011,(202) 671-6080,(202) 576-3147,semanthe.bright@k12.dc.gov,9th-12th,4
405,Deal Middle School,3815 Fort Dr. NW,20016,(202) 939-2010,(202) 282-1116,diedre.neal@k12.dc.gov,6th-8th,3
