"school_name","sy17total_enrolled","sy18total_enrolled","sy19total_enrolled","sy20total_enrolled","sy21total_enrolled"
"Ballou STAY High School",495,524,523,523,458
"Roosevelt STAY High School",515,648,634,634,584
"River Terrace Education Campus",137,131,132,132,115
"CHOICE Academy @ Wash Met",1,1,NULL,NULL,NULL
"Inspiring Youth Program",40,32,36,36,NULL
"Youth Services Center",52,31,45,45,NULL
"General Education Residential Schools",9,NULL,NULL,NULL,NULL
"Aiton Elementary School",243,244,207,207,192
"Amidon-Bowen Elementary School",351,339,315,315,335
"Anacostia High School",379,296,326,326,321
"Ballou High School",880,650,664,664,636
"Bancroft Elementary School @ Sharpe",544,567,627,627,676
"Barnard Elementary School",642,620,617,617,596
"Beers Elementary School",484,489,456,456,384
"Benjamin Banneker High School",482,482,549,549,537
"Brent Elementary School",425,432,433,433,431
"Brightwood Education Campus",737,757,633,633,597
"Brookland Middle School",238,270,345,345,327
"Browne Education Campus",325,371,398,398,414
"Bruce-Monroe Elementary School @ Park View",473,451,469,469,425
"Bunker Hill Elementary School",200,221,209,209,188
"Burroughs Elementary School",282,273,267,267,241
"Burrville Elementary School",300,295,270,270,256
"C.W. Harris Elementary School",278,232,233,233,231
"Capitol Hill Montessori School @ Logan",365,362,354,354,383
"Cardozo Education Campus",788,746,621,621,624
"Cleveland Elementary School",317,304,297,297,272
"Columbia Heights Education Campus",1240,1320,1477,1477,1554
"Coolidge High School",310,327,561,561,740
"Deal Middle School",1475,1507,1463,1463,1396
"Dorothy I. Height Elementary School",479,480,437,437,424
"Drew Elementary School",272,236,223,223,191
"Duke Ellington School of the Arts",566,545,591,591,579
"Dunbar High School",617,667,666,666,728
"Eastern High School",769,744,735,735,766
"Eaton Elementary School",476,474,429,429,423
"Eliot-Hine Middle School",203,232,266,266,317
"Garfield Elementary School",301,291,263,263,245
"Garrison Elementary School",250,277,319,319,331
"H.D. Cooke Elementary School",404,387,383,383,366
"H.D. Woodson High School",488,455,434,434,478
"Hardy Middle School",392,451,500,500,531
"Hart Middle School",337,357,470,470,421
"Hearst Elementary School",312,331,346,346,334
"Hendley Elementary School",379,366,307,307,278
"Houston Elementary School",269,277,269,269,268
"Hyde-Addison Elementary School @ Meyer",320,352,386,386,374
"J.O. Wilson Elementary School",509,477,447,447,424
"Janney Elementary School",737,739,681,681,672
"Jefferson Middle School Academy",314,341,377,377,375
"Johnson Middle School",255,275,354,354,318
"Kelly Miller Middle School",387,482,499,499,400
"Ketcham Elementary School",310,300,329,329,283
"Key Elementary School",417,399,346,346,319
"Kimball Elementary School @ Davis",325,343,373,373,400
"King Elementary School",346,295,271,271,223
"Kramer Middle School",194,208,236,236,272
"Lafayette Elementary School",816,887,902,902,860
"Langdon Elementary School",324,353,358,358,348
"Langley Elementary School",275,290,315,315,303
"LaSalle-Backus Education Campus",363,382,286,286,252
"Leckie Education Campus",558,529,435,435,414
"Ludlow-Taylor Elementary School",414,439,437,437,440
"Luke C. Moore High School",251,288,208,208,155
"MacFarland Middle School",132,354,648,648,628
"Malcolm X Elementary School @ Green",256,242,216,216,195
"Mann Elementary School",400,397,394,394,366
"Marie Reed Elementary School",427,437,457,457,441
"Maury Elementary School",407,407,492,492,518
"McKinley Middle School",241,231,282,282,277
"McKinley Technology High School",620,633,696,696,691
"Miner Elementary School",345,361,399,399,376
"Moten Elementary School",401,323,240,240,212
"Murch Elementary School @ UDC",573,601,597,597,601
"Nalle Elementary School",387,370,313,313,295
"Noyes Elementary School",195,224,213,213,256
"Orr Elementary School",404,430,435,435,424
"Oyster-Adams Bilingual School",677,706,737,737,740
"Patterson Elementary School",374,386,313,313,278
"Payne Elementary School",315,346,319,319,292
"Peabody Elementary School (Capitol Hill Cluster)",227,226,218,218,210
"Phelps Architecture, Construction and Engineering High School",260,265,276,276,320
"Plummer Elementary School",375,331,253,253,239
"Powell Elementary School",548,535,517,517,492
"Randle Highlands Elementary School",325,329,318,318,280
"Raymond Education Campus",589,558,451,451,369
"Ron Brown College Preparatory High School",209,261,216,216,201
"Roosevelt High School",698,645,752,752,797
"Ross Elementary School",174,190,176,176,162
"Savoy Elementary School",267,271,264,264,249
"School Without Walls @ Francis-Stevens",473,472,587,587,516
"School Without Walls High School",592,592,600,600,597
"School-Within-School @ Goding",308,313,315,315,321
"Seaton Elementary School",371,390,367,367,349
"Shepherd Elementary School",364,379,372,372,367
"Simon Elementary School",274,241,234,234,223
"Smothers Elementary School",252,249,210,210,195
"Sousa Middle School",228,242,279,279,233
"Stanton Elementary School",493,473,383,383,338
"Stoddert Elementary School",438,463,428,428,445
"Stuart-Hobson Middle School (Capitol Hill Cluster)",422,454,513,513,508
"Takoma Education Campus",473,508,477,477,388
"Thomas Elementary School",384,355,310,310,278
"Thomson Elementary School",308,331,297,297,276
"Truesdell Education Campus",698,609,470,470,448
"Tubman Elementary School",535,548,531,531,529
"Turner Elementary School",463,497,497,497,472
"Tyler Elementary School",525,512,529,529,492
"Van Ness Elementary School",215,270,369,369,371
"Walker-Jones Education Campus",435,384,389,389,387
"Washington Metropolitan High School",195,136,NULL,NULL,NULL
"Watkins Elementary School (Capitol Hill Cluster)",428,444,438,438,422
"West Education Campus",330,336,317,317,371
"Wheatley Education Campus",324,312,302,302,335
"Whittier Education Campus",325,351,324,324,336
"Woodrow Wilson High School",1829,1796,1951,1951,2062
