School Code,School Name,Grade,# of English Language Arts (ELA) Test Takers,ELA - # Level 1,ELA - # Level 2,ELA - # Level 3,ELA - # Level 4,ELA - # Level 5,ELA # Proficient,ELA - % Level 1,ELA - % Level 2,ELA - % Level 3,ELA - % Level 4,ELA - % Level 5,ELA - % Proficient,# Math Test Takers,Math - # Level 1,Math - # Level 2,Math - # Level 3,Math - # Level 4,Math - # Level 5,Math - # Proficient,Math - % Level 1,Math - % Level 2,Math - % Level 3,Math - % Level 4,Math - % Level 5,Math - % Proficient
202,Aiton Elementary School,3,21,9,4,5,3,0,3,43%,19%,24%,14%,0%,14.00%,21,5,6,6,4,0,4,24%,29%,29%,19%,0%,19%
202,Aiton Elementary School,4,26,11,9,6,0,0,0,42%,35%,23%,0%,0%,0.00%,26,3,9,9,5,0,5,12%,35%,35%,19%,0%,19%
202,Aiton Elementary School,5,25,6,11,7,1,0,1,24%,44%,28%,4%,0%,4.00%,25,5,10,8,2,0,2,20%,40%,32%,8%,0%,8%
202,Aiton Elementary School,ALL,72,26,24,18,4,0,4,36%,33%,25%,6%,0%,6.00%,72,13,25,23,11,0,11,18%,35%,32%,15%,0%,15%
203,Amidon-Bowen Elementary School,3,45,26,8,4,7,0,7,58%,18%,9%,16%,0%,16.00%,46,24,14,3,4,1,5,52%,30%,7%,9%,2%,11%
203,Amidon-Bowen Elementary School,4,43,18,10,10,5,0,5,42%,23%,23%,12%,0%,12.00%,44,22,9,10,3,0,3,50%,20%,23%,7%,0%,7%
203,Amidon-Bowen Elementary School,5,59,21,18,8,12,0,12,36%,31%,14%,20%,0%,20.00%,59,23,17,12,6,1,7,39%,29%,20%,10%,2%,12%
203,Amidon-Bowen Elementary School,ALL,147,65,36,22,24,0,24,44%,24%,15%,16%,0%,16.00%,149,69,40,25,13,2,15,46%,27%,17%,9%,1%,10%
204,Bancroft Elementary School @ Sharpe,3,75,21,11,18,23,2,25,28%,15%,24%,31%,3%,33.00%,75,11,16,20,25,3,28,15%,21%,27%,33%,4%,37%
204,Bancroft Elementary School @ Sharpe,4,66,12,17,17,13,7,20,18%,26%,26%,20%,11%,30.00%,66,6,13,20,24,3,27,9%,20%,30%,36%,5%,41%
