School Code,School Name,Grade,# of English Language Arts (ELA) Test Takers,ELA - # Level 1,ELA - # Level 2,ELA - # Level 3,ELA - # Level 4,ELA - # Level 5,ELA # Proficient,ELA - % Level 1,ELA - % Level 2,ELA - % Level 3,ELA - % Level 4,ELA - % Level 5,ELA - % Proficient,# Math Test Takers,Math - # Level 1,Math - # Level 2,Math - # Level 3,Math - # Level 4,Math - # Level 5,Math - # Proficient,Math - % Level 1,Math - % Level 2,Math - % Level 3,Math - % Level 4,Math - % Level 5,Math - % Proficient
202,Aiton Elementary School,3,26,13,6,5,2,0,2,50.00%,23.10%,19.20%,7.70%,0.00%,7.70%,27,9,7,5,6,0,6,33.30%,25.90%,18.50%,22.20%,0.00%,22.20%
202,Aiton Elementary School,4,22,11,2,9,0,0,0,50.00%,9.10%,40.90%,0.00%,0.00%,0.00%,22,12,5,4,1,0,1,54.50%,22.70%,18.20%,4.50%,0.00%,4.50%
202,Aiton Elementary School,5,21,8,4,5,4,0,4,38.10%,19.00%,23.80%,19.00%,0.00%,19.00%,21,11,7,1,2,0,2,52.40%,33.30%,4.80%,9.50%,0.00%,9.50%
202,Aiton Elementary School,ALL,69,32,12,19,6,0,6,46.40%,17.40%,27.50%,8.70%,0.00%,8.70%,70,32,19,10,9,0,9,45.70%,27.10%,14.30%,12.90%,0.00%,12.90%
203,Amidon-Bowen Elementary School,3,41,13,6,9,11,2,13,31.70%,14.60%,22.00%,26.80%,4.90%,31.70%,41,11,10,10,3,7,10,26.80%,24.40%,24.40%,7.30%,17.10%,24.40%
203,Amidon-Bowen Elementary School,4,45,12,18,10,5,0,5,26.70%,40.00%,22.20%,11.10%,0.00%,11.10%,45,12,24,7,2,0,2,26.70%,53.30%,15.60%,4.40%,0.00%,4.40%
203,Amidon-Bowen Elementary School,5,37,14,8,10,5,0,5,37.80%,21.60%,27.00%,13.50%,0.00%,13.50%,37,18,14,2,3,0,3,48.60%,37.80%,5.40%,8.10%,0.00%,8.10%
203,Amidon-Bowen Elementary School,ALL,123,39,32,29,21,2,23,31.70%,26.00%,23.60%,17.10%,1.60%,18.70%,123,41,48,19,8,7,15,33.30%,39.00%,15.40%,6.50%,5.70%,12.20%
204,Bancroft Elementary School,3,93,22,15,9,40,7,47,23.70%,16.10%,9.70%,43.00%,7.50%,50.50%,93,17,23,14,32,7,39,18.30%,24.70%,15.10%,34.40%,7.50%,41.90%
204,Bancroft Elementary School,4,83,20,14,14,23,12,35,24.10%,16.90%,16.90%,27.70%,14.50%,42.20%,84,21,26,23,11,3,14,25.00%,31.00%,27.40%,13.10%,3.60%,16.70%
204,Bancroft Elementary School,5,74,14,11,13,25,11,36,18.90%,14.90%,17.60%,33.80%,14.90%,48.60%,74,15,25,17,15,2,17,20.30%,33.80%,23.00%,20.30%,2.70%,23.00%
204,Bancroft Elementary School,ALL,250,56,40,36,88,30,118,22.40%,16.00%,14.40%,35.20%,12.00%,47.20%,251,53,74,54,58,12,70,21.10%,29.50%,21.50%,23.10%,4.80%,27.90%
205,Barnard Elementary School,3,82,33,17,16,14,2,16,40.20%,20.70%,19.50%,17.10%,2.40%,19.50%,82,16,16,31,16,3,19,19.50%,19.50%,37.80%,19.50%,3.70%,23.20%
205,Barnard Elementary School,4,69,14,15,16,17,7,24,20.30%,21.70%,23.20%,24.60%,10.10%,34.80%,72,12,17,29,13,1,14,16.70%,23.60%,40.30%,18.10%,1.40%,19.40%
205,Barnard Elementary School,5,67,12,18,12,18,7,25,17.90%,26.90%,17.90%,26.90%,10.40%,37.30%,67,12,21,15,16,3,19,17.90%,31.30%,22.40%,23.90%,4.50%,28.40%
205,Barnard Elementary School,ALL,218,59,50,44,49,16,65,27.10%,22.90%,20.20%,22.50%,7.30%,29.80%,221,40,54,75,45,7,52,18.10%,24.40%,33.90%,20.40%,3.20%,23.50%
206,Beers Elementary School,3,40,22,9,4,5,0,5,55.00%,22.50%,10.00%,12.50%,0.00%,12.50%,40,18,10,9,3,0,3,45.00%,25.00%,22.50%,7.50%,0.00%,7.50%
206,Beers Elementary School,4,43,10,10,11,9,3,12,23.30%,23.30%,25.60%,20.90%,7.00%,27.90%,43,13,14,6,9,1,10,30.20%,32.60%,14.00%,20.90%,2.30%,23.30%
206,Beers Elementary School,5,49,12,13,9,15,0,15,24.50%,26.50%,18.40%,30.60%,0.00%,30.60%,49,14,15,12,8,0,8,28.60%,30.60%,24.50%,16.30%,0.00%,16.30%
206,Beers Elementary School,ALL,132,44,32,24,29,3,32,33.30%,24.20%,18.20%,22.00%,2.30%,24.20%,132,45,39,27,20,1,21,34.10%,29.50%,20.50%,15.20%,0.80%,15.90%
212,Brent Elementary School,3,58,5,6,12,32,3,35,8.60%,10.30%,20.70%,55.20%,5.20%,60.30%,58,2,7,8,24,17,41,3.40%,12.10%,13.80%,41.40%,29.30%,70.70%
212,Brent Elementary School,4,69,5,3,6,40,15,55,7.20%,4.30%,8.70%,58.00%,21.70%,79.70%,69,3,8,6,44,8,52,4.30%,11.60%,8.70%,63.80%,11.60%,75.40%
212,Brent Elementary School,5,30,1,4,11,12,2,14,3.30%,13.30%,36.70%,40.00%,6.70%,46.70%,30,5,7,6,12,0,12,16.70%,23.30%,20.00%,40.00%,0.00%,40.00%
212,Brent Elementary School,ALL,157,11,13,29,84,20,104,7.00%,8.30%,18.50%,53.50%,12.70%,66.20%,157,10,22,20,80,25,105,6.40%,14.00%,12.70%,51.00%,15.90%,66.90%
213,Brightwood Elementary School,3,56,21,16,10,9,0,9,37.50%,28.60%,17.90%,16.10%,0.00%,16.10%,58,15,15,18,9,1,10,25.90%,25.90%,31.00%,15.50%,1.70%,17.20%
213,Brightwood Elementary School,4,81,21,23,21,15,1,16,25.90%,28.40%,25.90%,18.50%,1.20%,19.80%,80,17,32,21,9,1,10,21.30%,40.00%,26.30%,11.30%,1.30%,12.50%
213,Brightwood Elementary School,5,83,25,18,26,14,0,14,30.10%,21.70%,31.30%,16.90%,0.00%,16.90%,83,24,31,21,7,0,7,28.90%,37.30%,25.30%,8.40%,0.00%,8.40%
213,Brightwood Elementary School,ALL,220,67,57,57,38,1,39,30.50%,25.90%,25.90%,17.30%,0.50%,17.70%,221,56,78,60,25,2,27,25.30%,35.30%,27.10%,11.30%,0.90%,12.20%
