School Code,School Name,Grade,# of English Language Arts (ELA) Test Takers,ELA - # Level 1,ELA - # Level 2,ELA - # Level 3,ELA - # Level 4,ELA - # Level 5,ELA # Proficient,ELA - % Level 1,ELA - % Level 2,ELA - % Level 3,ELA - % Level 4,ELA - % Level 5,ELA - % Proficient,# Math Test Takers,Math - # Level 1,Math - # Level 2,Math - # Level 3,Math - # Level 4,Math - # Level 5,Math - # Proficient,Math - % Level 1,Math - % Level 2,Math - % Level 3,Math - % Level 4,Math - % Level 5,Math - % Proficient
202,Aiton Elementary School,3,19,7,5,2,5,0,5,36.80%,26.30%,10.50%,26.30%,0.00%,26.30%,19,6,4,7,2,0,2,31.60%,21.10%,36.80%,10.50%,0.00%,10.50%
202,Aiton Elementary School,4,27,12,6,5,4,0,4,44.40%,22.20%,18.50%,14.80%,0.00%,14.80%,27,13,8,2,4,0,4,48.10%,29.60%,7.40%,14.80%,0.00%,14.80%
202,Aiton Elementary School,5,24,11,5,5,3,0,3,45.80%,20.80%,20.80%,12.50%,0.00%,12.50%,24,10,6,5,3,0,3,41.70%,25.00%,20.80%,12.50%,0.00%,12.50%
202,Aiton Elementary School,ALL,70,30,16,12,12,0,12,42.90%,22.90%,17.10%,17.10%,0.00%,17.10%,70,29,18,14,9,0,9,41.40%,25.70%,20.00%,12.90%,0.00%,12.90%
203,Amidon-Bowen Elementary School,3,43,13,10,10,8,2,10,30.20%,23.30%,23.30%,18.60%,4.70%,23.30%,43,12,5,9,15,2,17,27.90%,11.60%,20.90%,34.90%,4.70%,39.50%
203,Amidon-Bowen Elementary School,4,49,16,9,15,9,0,9,32.70%,18.40%,30.60%,18.40%,0.00%,18.40%,49,12,14,12,10,1,11,24.50%,28.60%,24.50%,20.40%,2.00%,22.40%
203,Amidon-Bowen Elementary School,5,52,15,15,14,8,0,8,28.80%,28.80%,26.90%,15.40%,0.00%,15.40%,52,12,21,14,5,0,5,23.10%,40.40%,26.90%,9.60%,0.00%,9.60%
203,Amidon-Bowen Elementary School,ALL,144,44,34,39,25,2,27,30.60%,23.60%,27.10%,17.40%,1.40%,18.80%,144,36,40,35,30,3,33,25.00%,27.80%,24.30%,20.80%,2.10%,22.90%
204,Bancroft Elementary School,3,62,9,12,15,25,1,26,14.50%,19.40%,24.20%,40.30%,1.60%,41.90%,62,4,6,14,29,9,38,6.50%,9.70%,22.60%,46.80%,14.50%,61.30%
204,Bancroft Elementary School,4,75,15,11,11,28,10,38,20.00%,14.70%,14.70%,37.30%,13.30%,50.70%,75,10,20,16,25,4,29,13.30%,26.70%,21.30%,33.30%,5.30%,38.70%
204,Bancroft Elementary School,5,63,7,12,7,26,11,37,11.10%,19.00%,11.10%,41.30%,17.50%,58.70%,63,3,10,12,31,7,38,4.80%,15.90%,19.00%,49.20%,11.10%,60.30%
204,Bancroft Elementary School,ALL,200,31,35,33,79,22,101,15.50%,17.50%,16.50%,39.50%,11.00%,50.50%,200,17,36,42,85,20,105,8.50%,18.00%,21.00%,42.50%,10.00%,52.50%
205,Barnard Elementary School,3,70,16,17,22,15,0,15,22.90%,24.30%,31.40%,21.40%,0.00%,21.40%,70,8,8,27,22,5,27,11.40%,11.40%,38.60%,31.40%,7.10%,38.60%
205,Barnard Elementary School,4,76,6,19,14,26,11,37,7.90%,25.00%,18.40%,34.20%,14.50%,48.70%,76,3,16,21,31,5,36,3.90%,21.10%,27.60%,40.80%,6.60%,47.40%
205,Barnard Elementary School,5,68,12,11,17,24,4,28,17.60%,16.20%,25.00%,35.30%,5.90%,41.20%,68,0,13,22,27,6,33,0.00%,19.10%,32.40%,39.70%,8.80%,48.50%
205,Barnard Elementary School,ALL,214,34,47,53,65,15,80,15.90%,22.00%,24.80%,30.40%,7.00%,37.40%,214,11,37,70,80,16,96,5.10%,17.30%,32.70%,37.40%,7.50%,44.90%
206,Beers Elementary School,3,69,29,15,16,9,0,9,42.00%,21.70%,23.20%,13.00%,0.00%,13.00%,68,32,15,17,4,0,4,47.10%,22.10%,25.00%,5.90%,0.00%,5.90%
206,Beers Elementary School,4,45,8,10,8,16,3,19,17.80%,22.20%,17.80%,35.60%,6.70%,42.20%,45,9,11,12,13,0,13,20.00%,24.40%,26.70%,28.90%,0.00%,28.90%
