School Name,Total Absences,1-5 Absences,6-10 Absences,11-20 Absences,21+ Absences
Aiton ES,172,105,32,13,n<10
Amidon-Bowen ES,274,162,54,28,n<10
Anacostia HS,332,44,39,65,176
Ballou HS,606,30,63,129,381
Ballou STAY,128,n<10,n<10,17,100
Bancroft ES,526,235,18,n<10,n<10
Bard High School Early College DC,174,55,46,46,24
Barnard ES,533,312,47,10,n<10
Beers ES,410,225,79,28,n<10
Benjamin Banneker HS,522,349,45,n<10,n<10
Brent ES,376,212,17,n<10,n<10
Brightwood EC,637,351,75,27,10
Brookland MS,394,265,61,n<10,11
Browne EC,387,237,50,14,11
Bruce-Monroe ES @ Park View,391,213,24,n<10,n<10
Bunker Hill ES,184,92,20,10,n<10
Burroughs ES,213,126,33,n<10,n<10
Burrville ES,224,109,71,23,n<10
C.W. Harris ES,191,93,44,32,n<10
Cap Hill Montessori @ Logan,236,141,30,12,n<10
Cardozo EC,706,180,117,142,243
Cleveland ES,232,135,14,n<10,n<10
Columbia Heights EC,1460,555,289,274,210
Coolidge HS,458,152,111,72,96
Deal MS,1483,724,90,24,n<10
Dorothy I. Height ES,353,189,40,18,n<10
Drew ES,198,136,34,10,n<10
Dunbar HS,691,67,113,199,n<10
Eastern HS,803,101,128,161,398
Eaton ES,441,209,11,n<10,n<10
Eliot-Hine MS,279,107,63,40,45
Ellington School of the Arts,555,276,127,72,31
Excel Academy,378,146,140,54,20
Garfield ES,259,142,75,20,n<10
Garrison ES,232,121,24,n<10,n<10
H.D. Cooke ES,347,191,51,18,n<10
Hardy MS,491,260,29,n<10,n<10
Hart MS,473,288,91,31,10
Hearst ES,307,158,10,n<10,n<10
Hendley ES,325,157,91,41,n<10
Houston ES,213,114,43,22,11
Hyde-Addison ES,325,177,37,n<10,n<10
Ida B. Wells MS,195,96,34,25,n<10
J.O. Wilson ES,375,179,100,28,n<10
Janney ES,704,354,n<10,n<10,n<10
Jefferson MS Academy,370,187,84,41,19
Johnson John Hayden MS,360,103,119,80,48
Kelly Miller MS,582,118,139,130,184
Ketcham ES,273,123,74,42,12
Key ES,353,201,10,n<10,n<10
Kimball ES,349,179,94,45,11
King M.L. ES,259,103,86,39,10
Kramer MS,244,57,63,56,60
Lafayette ES,872,328,n<10,n<10,n<10
Langdon ES,317,177,45,14,10
Langley ES,244,107,66,37,13
LaSalle-Backus EC,320,179,45,21,10
Lawrence E. Boone ES,337,218,60,14,n<10
Leckie EC,435,250,97,33,n<10
Ludlow-Taylor ES,355,239,33,n<10,n<10
Luke Moore Alternative HS,159,12,10,33,98
MacFarland MS,591,303,105,77,28
Malcolm X ES @ Green,184,85,73,22,n<10
Mann ES,396,126,n<10,n<10,n<10
Marie Reed ES,376,214,38,n<10,n<10
Maury ES,382,190,19,n<10,n<10
McKinley MS,275,89,68,64,42
McKinley Technology HS,650,410,113,34,n<10
Miner ES,270,148,58,19,n<10 
Moten ES,246,116,56,43,17
Murch ES,585,303,25,n<10,n<10
 Nalle ES,279,156,73,20,n<10
Noyes ES,193,124,16,n<10,n<10
Oyster-Adams Bilingual,698,372,32,n<10,n<10
Patterson ES,343,166,123,21,17
Payne ES,255,141,46,20,n<10
Peabody ES,87,56,14,n<10,n<10
Phelps ACE HS,250,162,28,15,n<10
Plummer ES,248,113,62,46,n<10
Powell ES,457,247,20,n<10,n<10
Randle Highlands ES,286,197,n<10,n<10,n<10
Raymond EC,447,288,84,20,11
River Terrace 69,21,14,13,14,
Ron Brown High School,254,51,54,59,86
Roosevelt High School,762,169,132,150,289
Roosevelt STAY,224,n<10,15,34,163
Ross ES,164,90,n<10,n<10,n<10
Savoy ES,231,91,74,40,n<10
School Without Walls HS,594,292,31,11,n<10
School-Within-School @ Goding,244,145,17,n<10,n<10
Seaton ES,305,177,27,11,
n<10 Shepherd ES,318,168,n<10,n<10,n<10
Simon ES,229,111,67,24,n<10
Smothers ES,195,100,55,11,n<10
Sousa MS,314,135,75,68,26
Stanton ES,367,132,115,62,16
Stoddert ES,489,263,27,n<10,n<10
Stuart-Hobson MS,502,313,53,25,14
SWW @ Francis Stevens,489,264,43,22,n<10
Takoma EC,448,238,53,24,10
Thomas ES,267,135,60,45,10
Thomson ES,255,120,22,n<10,n<10
Truesdell EC,492,283,71,35,n<10
Tubman ES,520,295,86,45,11
Turner ES,441,174,127,85,23
Tyler ES,416,272,37,17,n<10
Van Ness ES,258,147,38,n<10,n<10
Walker-Jones EC,375,204,80,29,10
Washington Metropolitan HS,149,n<10,n<10,16,27
Watkins ES,463,283,n<10,n<10,n<10
West EC,280,154,47,26,13
Wheatley EC,296,174,51,30,n<10
Whittier EC,308,163,57,26,19
Wilson HS,1855,969,345,205,169
H.D Woodson HS,510,67,84,160,196
Youth Services Center,106,29,n<10,n<10,n<10
