School Name,Total Absences,1-5 Absences,6-10 Absences,11-20 Absences,21+ Absences
Aiton ES,190,74,58,33,12
Amidon-Bowen ES,309,149,98,36,12
Anacostia HS,396,31,40,59,262
Ballou HS,933,53,102,207,556
Ballou STAY,138,<10,<10,<10,128
Bancroft ES,460,298,55,<10,<10
Barnard ES,521,378,41,10,<10
Beers ES,411,252,47,<10,0
Beers ES,411,252,47,<10,0
Benjamin Banneker HS,483,309,47,15,<10
Brent ES,369,242,40,<10,0
Brightwood EC,712,407,155,52,12
Brookland MS,268,94,62,77,24
Browne EC,317,157,69,35,12
Bruce-Monroe ES,397,254,46,14,10
Bunker Hill ES,163,80,48,22,<10
Burroughs ES,222,84,63,48,16
Burrville ES,244,59,78,78,22
C.W. Harris ES,251,118,73,37,14
Cap Hill Montessori,259,137,71,29,<10
Cardozo EC,730,111,125,164,316
CHOICE Academy,68,24,19,13,<10
Cleveland ES,247,148,39,14,<10
Columbia Heights EC,1245,390,268,307,203
Coolidge HS,329,101,53,58,87
Deal MS,1520,1024,122,42,15
Dorothy I. Height ES,343,179,84,41,11
Drew ES,253,90,94,47,14
Dunbar HS,671,37,61,164,398
Eastern HS,773,94,109,174,380
Eaton ES,453,256,<10,0,0
Eliot-Hine MS,227,55,54,56,48
Ellington School of the Arts,558,224,101,111,82
Garfield ES,281,127,103,21,<10
Garrison ES,192,130,30,<10,<10
H.D. Cooke ES,337,163,64,47,19
Hardy MS,405,282,16,<10,<10
Hart MS,392,173,121,47,29
Hearst ES,278,183,24,<10,0
Hendley ES,387,82,108,115,75
Houston ES,227,92,64,47,20
Hyde-Addison ES,272,172,43,<10,0
Inspiring Youth Program 30,<10,<10,0,0,
J.O. Wilson ES,421,180,120,71,23
Janney ES,680,506,24,<10,0
Jefferson MS Academy,336,115,91,65,49
Johnson MS,293,74,92,76,48
Kelly Miller MS,470,152,104,125,75
Ketcham ES,269,67,88,90,20
Key ES,386,259,32,<10,0
Kimball ES,303,180,91,15,<10
King M.L. ES,312,86,72,90,50
Kramer MS,237,34,50,64,84
Lafayette ES,737,402,<10,<10,0
Langdon ES,292,138,70,39,14
Langley ES,250,107,68,42,21
LaSalle-Backus EC,352,175,76,40,25
Leckie EC,490,197,154,102,17
Ludlow-Taylor ES,314,184,53,18,<10
Luke Moore HS,184,17,16,35,111
MacFarland MS,144,90,15,<10,<10
Malcolm X ES @ Green,234,100,77,53,0
Mann ES,375,204,<10,<10,0
Marie Reed ES,344,182,62,30,<10
Maury ES,330,204,48,<10,0
McKinley MS,269,26,51,84,106
McKinley Technology HS,615,209,206,138,39
Miner ES,268,178,42,11,<10
Moten ES,360,57,90,107,97
Murch ES,538,364,53,10,0
Nalle ES,327,181,105,13,<10
Noyes ES,190,100,37,11,<10
Orr ES,334,142,92,52,28
Oyster-Adams Bilingual,646,398,71,<10,<10
Patterson ES,322,195,49,<10,0
Payne ES,283,91,90,62,27
Peabody ES,88,64,<10,<10,0
Phelps ACE HS,261,35,49,94,80
Plummer ES,341,113,169,33,17
Powell ES,461,286,72,<10,11
Randle Highlands ES,266,181,38,<10,0
Raymond EC,541,322,148,37,<10
River Terrace,76,52,10,<10,<10
Ron Brown High School,213,33,42,56,80
Roosevelt High School,725,92,82,139,392
Roosevelt STAY,186,12,11,16,146
Ross ES,149,94,23,<10,0
Savoy ES,252,55,59,54,27
School Without Walls HS,595,336,41,10,<10
School-Within-School @ Goding,239,166,20,<10,0
Seaton ES,289,161,42,13,<10
Shepherd ES,311,201,28,<10,<10
Simon ES,271,123,65,49,18
Smothers ES,209,74,59,56,<10
Sousa MS,270,61,80,80,38
Stanton ES,436,195,111,81,13
Stoddert ES,452,281,37,<10,0
Stuart-Hobson MS,432,246,107,38,<10
SWW @ Francis Stevens,406,222,67,32,<10
Takoma EC,431,245,27,14,13
Thomas ES,345,96,116,89,34
Thomson ES,248,147,30,<10,<10
Truesdell EC,642,273,187,124,30
Tubman ES,501,264,101,55,20
Turner ES,426,88,104,144,80
Tyler ES,414,259,69,29,<10
Van Ness ES,143,84,20,13,<10
Walker-Jones EC,385,119,127,81,42
Washington Met HS,199,<10,<10,<10,181
Watkins ES,442,311,74,<10,0
West EC,285,124,66,41,20
Wheatley EC,284,70,80,98,28
Whittier EC,307 119,88,54,31,
Wilson HS,1852,596,423,378,389
H.D. Woodson HS,537,36,62,111,319
Youth Services Center,140,10,<10,<10,0
